theme,block,english,japanese
英検４級,1,people,人々ひとびと
英検４級,1,end,終おわる
英検４級,1,last,この前まえの，最後さいごの
英検４級,1,one,1つの
英検４級,1,each,各々おのおのの
英検４級,1,say,言いう
英検４級,1,talk,話はなす
英検４級,1,question,質問しつもん
英検４級,1,own,自分じぶんの
英検４級,1,think,考かんがえる
英検４級,1,last,最後さいご
英検４級,1,rest,休息きゅうそくする
英検４級,1,tea,お茶ちゃ
英検４級,1,see,見みる
英検４級,1,sit,着席ちゃくせきする
英検４級,1,art,美術びじゅつ，芸術げいじゅつ
英検４級,1,take,取とる
英検４級,1,take,連つれて行いく
英検４級,1,rain,雨あめ
英検４級,1,foot,足あし
英検４級,1,I,私わたしは
英検４級,1,enough,十分じゅうぶんな
英検４級,1,tell,伝つたえる
英検４級,1,shout,叫さけぶ
英検４級,1,think,思おもう
英検４級,1,five,5
英検４級,1,father,父親ちちおや
英検４級,1,fish,魚さかな
英検４級,1,animal,動物どうぶつ
英検４級,1,such,そのような
英検４級,1,answer,答こたえる
英検４級,1,right,右みぎに
英検４級,1,teach,教おしえる
英検４級,1,future,未来みらい
英検４級,1,show,見みせる
英検４級,1,rise,昇のぼる
英検４級,1,sea,海うみ
英検４級,1,decide,決心けっしんする
英検４級,1,you,あなたは
英検４級,1,right,正ただしい
英検４級,1,exciting,興奮こうふんさせる
英検４級,1,sun,太陽たいよう
英検４級,1,word,言葉ことば
英検４級,1,see,分わかる
英検４級,1,interesting,面白おもしろい
英検４級,1,port,港みなと
英検４級,1,front,前まえ
英検４級,1,hold,握にぎる
英検４級,1,remember,思おもい出だす
英検４級,1,mountain,山やま
英検４級,2,understand,理解りかいする
英検４級,2,river,川かわ
英検４級,2,popular,人気にんきの
英検４級,2,face,顔かお
英検４級,2,usual,通常つうじょうの
英検４級,2,set,置おく
英検４級,2,market,市場しじょう
英検４級,2,what,なに
英検４級,2,remember,覚おぼえている
英検４級,2,different,違ちがった
英検４級,2,watch,見みる、視聴しちょうする
英検４級,2,sure,確信かくしんして
英検４級,2,same,同おなじ
英検４級,2,mean,意味いみする
英検４級,2,lake,湖みずうみ
英検４級,2,lie,嘘うそ
英検４級,2,spend,費ついやす
英検４級,2,war,戦争せんそう
英検４級,2,wear,着きる
英検４級,2,kind,種類しゅるい
英検４級,2,tired,疲つかれて
英検４級,2,useful,役やくに立たつ
英検４級,2,cloth,服ふく
英検４級,2,take,撮影さつえいする
英検４級,2,ice,氷こおり
英検４級,2,leg,脚あし
英検４級,2,enter,入はいる
英検４級,2,health,健康けんこう
英検４級,2,invite,招待しょうたいする
英検４級,2,loud,騒さわがしい
英検４級,2,hold,握にぎる
英検４級,2,fall,落おちる
英検４級,2,throw,投なげる
英検４級,2,tell,伝つたえる
英検４級,2,finish,終おえる
英検４級,2,forget,忘わすれる
英検４級,2,snow,雪ゆき
英検４級,2,water,水みず
英検４級,2,person,人ひと
英検４級,2,heart,心こころ
英検４級,2,worry,心配しんぱいさせる
英検４級,2,wife,妻つま
英検４級,2,meat,肉にく
英検４級,2,well,健康けんこうな
英検４級,2,a lot of,たくさんの
英検４級,2,hundred,百ひゃく
英検４級,2,vacation,休暇きゅうか
英検４級,2,leaf,葉は
英検４級,2,wish,望のぞむ
英検４級,2,vegetable,野菜やさい
英検４級,3,grandmother,祖母そぼ
英検４級,3,island,島しま
英検４級,3,hill,丘おか
英検４級,3,tooth,歯は
英検４級,3,draw,描えがく
英検４級,3,success,成功せいこう
英検４級,3,wind,風かぜ
英検４級,3,stone,石いし
英検４級,3,pork,豚肉ぶたにく
英検４級,3,build,建たてる
英検４級,3,pick,選えらぶ
英検４級,3,inside,内側うちがわ
英検４級,3,factory,工場こうじょう
英検４級,3,roof,屋根やね
英検４級,3,past,過去かこの
英検４級,3,sailor,船員せんいん
英検４級,3,sugar,砂糖さとう
英検４級,3,shoulder,肩かた
英検４級,3,wood,木材もくざい
英検４級,3,seem,～の様ように見みえる
英検４級,3,textbook,教科書きょうかしょ
英検４級,3,wake,目めが覚さめる
英検４級,3,pay,支払しはらう
英検４級,3,salt,塩しお
英検４級,3,farmer,農家のうか
英検４級,3,cloud,雲くも
英検４級,3,thousand,千せん、千せんの
英検４級,3,ask,尋たずねる
英検４級,3,land,土地とち
英検４級,3,planet,惑星わくせい
英検４級,3,pond,池いけ
英検４級,3,nature,自然しぜん
英検４級,3,pig,ブタ
英検４級,3,rabbit,ウサギ
英検４級,3,laugh,笑わらう
英検４級,3,just,ちょうど
英検４級,3,real,ほんとうの
英検４級,3,stood,立たった
英検４級,3,while,～する間あいだ
英検４級,3,fail,失敗しっぱいする
英検４級,3,put,置おく
英検４級,3,arm,腕うで
英検４級,3,listen,聴きく
英検４級,3,enjoyed,楽たのしんだ
英検４級,3,spoke,話はなした
英検４級,3,save,節約せつやくする
英検４級,3,tried,試ためした
英検４級,3,still,まだ
英検４級,3,sold,売うった
英検４級,3,foolish,愚かおろかな
英検４級,4,watched,見みた
英検４級,4,first,1番目ばんめ
英検４級,4,they,彼かれらは
英検４級,4,played,演奏えんそうした
英検４級,4,realize,実現じつげんする
英検４級,4,important,重要じゅうような
英検４級,4,forth,4番目ばんめ
英検４級,4,hers,彼女かのじょのもの
英検４級,4,honest,正直しょうじきな
英検４級,4,between,～と～の間あいだ
英検４級,4,took,取とった
英検４級,4,zoo,動物園どうぶつえん
英検４級,4,quiet,静しずかな
英検４級,4,then,そのとき
英検４級,4,when,～するとき
英検４級,4,got,得えた
英検４級,4,yours,あなたのもの
英検４級,4,joy,喜よろこび
英検４級,4,weak,弱よわい
英検４級,4,it,それは
英検４級,4,thought,考かんがえ
英検４級,4,use,使つかう
英検４級,4,senior,年上としうえの
英検４級,4,waste,浪費ろうひ
英検４級,4,net,網あみ
英検４級,4,had,食たべた
英検４級,4,lose,失うしなう
英検４級,4,bought,買かった
英検４級,4,poor,貧乏びんぼうな
英検４級,4,rainy,雨降あめふりの
英検４級,4,her,彼女かのじょの
英検４級,4,its,その
英検４級,4,weather,天気てんき
英検４級,4,wave,波なみ
英検４級,4,went,行いった
英検４級,4,but,しかし
英検４級,4,her,彼女かのじょの
英検４級,4,once,かつて
英検４級,4,his,彼かれの
英検４級,4,stay,滞在たいざい
英検４級,4,you,あなたは
英検４級,4,their,彼かれらの
英検４級,4,your,あなたの
英検４級,4,yesterday,昨日きのう
英検４級,4,east,東ひがし
英検４級,4,she,彼女かのじょは
英検４級,4,How,どのぐらい
英検４級,4,please,喜よろこばせる
英検４級,4,toy,玩具おもちゃ
英検４級,4,used,使つかった
英検４級,5,fat,太ふとった
英検４級,5,dislike,嫌きらう
英検４級,5,it,それは
英検４級,5,he,彼は
英検４級,5,studied,勉強べんきょうした
英検４級,5,cloudy,曇くもった
