ID: 2613, English: kneel
-- She had to kneel down to tie her shoes.
-- 彼女は靴紐を結ぶために膝をつかなければならなかった。
-- bow, prostrate, kowtow, genuflect

ID: 2645, English: brutal
-- The brutal murder shocked the entire community.
-- 残忍な殺人はコミュニティ全体をショックを与えた。
-- cruel, savage, barbaric, inhumane

ID: 2717, English: distress
-- She was in great distress after hearing the news.
-- 彼女はそのニュースを聞いて大きな苦痛を感じていた。
-- anguish, suffering, pain, agony, torment

ID: 2801, English: stitch
-- She carefully sewed each stitch by hand.
-- 彼女は丁寧に一針一針手で縫いました。
-- sew, seam, sewing, embroidery

ID: 2807, English: moan
-- She let out a moan of pain as she fell.
-- 彼女は倒れるときに痛みのうめき声を上げた。
-- groan, whimper, sigh, wail

ID: 2866, English: tear off
-- She tore off her old clothes and threw them in the trash.
-- 彼女は古い服を引きちぎってゴミ箱に捨てました。
-- rip off, pull off, detach, strip off

ID: 2882, English: famine
-- The famine in the region has caused widespread suffering.
-- その地域の飢饉は広範囲の苦しみを引き起こしています。
-- starvation, hunger, scarcity, shortage

ID: 2995, English: idiot
-- He's such an idiot for not studying for the test.
-- 彼はテストの勉強をしないで馬鹿だ。
-- fool, moron, simpleton, blockhead, dolt

ID: 3054, English: fatigue
-- The long hike left me feeling extreme fatigue.
-- 長いハイキングの後、私は極度の疲れを感じました。
-- exhaustion, tiredness, weariness, lethargy, lassitude

ID: 3080, English: disturbing
-- The loud noise from the construction site is disturbing my concentration.
-- 工事現場からの大きな音が私の集中力を邪魔しています。
-- troubling, upsetting, disquieting, unsettling, disconcerting

ID: 3082, English: take root
-- The idea of freedom took root in his mind.
-- 自由の考えが彼の心に根付いた。
-- establish, settle, embed, entrench

ID: 3084, English: identify A as B
-- I can identify the suspect as the person I saw at the crime scene.
-- 私は容疑者が犯行現場で見た人物であると認識できます。
-- recognize, distinguish, spot, discern

ID: 3086, English: identification
-- You will need to bring some form of identification to the interview.
-- 面接には身分証明書の一種を持参する必要があります。
-- ID, proof of identity, credentials, verification

ID: 3088, English: shrine
-- The shrine is a place of great spiritual significance.
-- その神社は非常に霊的な意義のある場所です。
-- sanctuary, temple, holy place

ID: 3090, English: jack up
-- We need to jack up the car in order to change the tire.
-- タイヤを交換するために車をジャッキで上げる必要があります。
-- hoist, lift, elevate, raise

ID: 3091, English: magnetic
-- The magnetic field around the magnet attracts iron filings.
-- 磁石の周りの磁場は鉄屑を引き寄せます。
-- attractive, captivating, alluring, charismatic

ID: 3095, English: federation
-- The European Union is a federation of 27 member states.
-- ヨーロッパ連合は27の加盟国からなる連合体です。
-- union, alliance, confederation

ID: 3096, English: in short
-- In short, we need to make a decision soon.
-- 要するに、私たちはすぐに決定をしなければならない。
-- in brief, in summary, in essence, in a word, to sum up

ID: 3097, English: inexpensive
-- The hotel offers inexpensive rates for its guests.
-- そのホテルは宿泊客に安価な料金を提供しています。
-- cheap, affordable, low-cost, economical

ID: 3101, English: hostile
-- The two rival gangs have been hostile towards each other for years.
-- 二つのライバルのギャングは長年お互いに敵意を持っています。
-- antagonistic, unfriendly, adverse, opposed, belligerent

ID: 3102, English: bilingual
-- She is bilingual in English and Spanish.
-- 彼女は英語とスペイン語の二ヶ国語話者です。
-- fluent in two languages, able to speak two languages, multilingual

ID: 3103, English: insistence
-- She spoke with great insistence on the need for change.
-- 彼女は変革の必要性について強い主張を述べました。
-- assertion, emphasis, persistence, tenacity, determination

ID: 3104, English: administrative
-- The company is looking for an administrative assistant to help with office tasks.
-- 会社はオフィス業務を手伝うための事務補助を探しています。
-- managerial, organizational, clerical, executive, bureaucratic

ID: 3107, English: accuracy
-- The accuracy of the measurements was crucial for the experiment.
-- 実験にとって、測定の正確さは重要でした。
-- precision, exactness, correctness, fidelity

ID: 3111, English: registration
-- Please complete the registration form.
-- 登録フォームに記入してください。
-- enrollment, sign-up, enlistment, admission

ID: 3112, English: exhaustion
-- The long hike left me in a state of exhaustion.
-- 長いハイキングの後、私は疲労困憊の状態になった。
-- fatigue, weariness, tiredness, depletion

ID: 3115, English: script
-- The script for the play was beautifully written.
-- その演劇の台本は美しく書かれていました。
-- manuscript, text, document, scenario, screenplay

ID: 3116, English: infectious
-- The flu virus is highly infectious.
-- インフルエンザウイルスは非常に伝染性が高いです。
-- contagious, transmissible, spreading, communicable

ID: 3123, English: remembrance
-- The old photograph brought back a flood of remembrance.
-- その古い写真はたくさんの思い出をよみがえらせた。
-- memory, recollection, reminiscence, reflection, musing

ID: 3127, English: counterpart
-- She met her Japanese counterpart at the conference.
-- 彼女は会議で彼女の日本の相手に会った。
-- equivalent, match, peer, complement

ID: 3128, English: documentary
-- I watched a documentary about penguins last night.
-- 昨夜、ペンギンに関するドキュメンタリーを見ました。
-- factual film, non-fiction film, educational film

ID: 3336, English: go against
-- I cannot go against my principles.
-- 私は自分の原則に逆らうことはできません。
-- oppose, resist, contradict, defy

ID: 3518, English: bellybutton
-- She has a cute little bellybutton.
-- 彼女はかわいらしいへそを持っています。
